Division,Carline,EngDispl,Cyl,CombMPG,Transmission ,Gears,EPA,Money,CombCO2
TOYOTA,PRIUS AWD,1.8,4,50,Continuously Variable,1,800,,176
TOYOTA,PRIUS Eco,1.8,4,56,Continuously Variable,1,700,,158
"Volvo Cars of North America, LLC",S90 AWD,2.0,4,25,Semi-Automatic,8,1950,2250,357
Audi,A8L,4.0,8,18,Semi-Automatic,8,2700,6000,495
BMW,740i,3.0,6,24,Semi-Automatic,8,2050,2750,361
BMW,740i xDrive,3.0,6,23,Semi-Automatic,8,2100,3000,394
BMW,750i xDrive,4.4,8,20,Semi-Automatic,8,2450,4750,449
BMW,Alpina B7,4.4,8,20,Semi-Automatic,8,2450,4750,450
BMW,M760i xDrive,6.6,12,16,Semi-Automatic,8,3050,7750,570
BMW,X1 sDrive28i,2.0,4,27,Semi-Automatic,8,1800,1500,327
BMW,X1 xDrive28i,2.0,4,26,Semi-Automatic,8,1900,2000,342
Cadillac,CT6 AWD,3.6,6,21,Semi-Automatic,10,1950,2250,420
Chevrolet,IMPALA,3.6,6,22,Semi-Automatic,6,1850,1750,411
Chevrolet,IMPALA,3.6,6,22,Semi-Automatic,6,1850,1750,406
GENESIS,G80 AWD,3.3,6,20,Semi-Automatic,8,2450,4750,453
GENESIS,G80 AWD,3.8,6,20,Semi-Automatic,8,2000,2500,445
GENESIS,G80 AWD,5.0,8,18,Semi-Automatic,8,2700,6000,503
GENESIS,G80 RWD,3.3,6,20,Semi-Automatic,8,2450,4750,442
GENESIS,G80 RWD,3.8,6,21,Semi-Automatic,8,1950,2250,423
GENESIS,G80 RWD,5.0,8,19,Semi-Automatic,8,2550,5250,474
GENESIS,G90 AWD,3.3,6,20,Semi-Automatic,8,2450,4750,451
GENESIS,G90 AWD,5.0,8,18,Semi-Automatic,8,2700,6000,500
GENESIS,G90 RWD,3.3,6,20,Semi-Automatic,8,2450,4750,446
GENESIS,G90 RWD,5.0,8,19,Semi-Automatic,8,2550,5250,485
Honda,ACCORD,1.5,4,33,Continuously Variable,1,1250,,266
Honda,ACCORD,1.5,4,31,Selectable Continuously Variable (e.g. CVT with paddles),7,1300,,282
Honda,ACCORD,1.5,4,30,Manual,6,1350,,298
Honda,ACCORD,2.0,4,48,Continuously Variable,1,850,,185
Honda,ACCORD,2.0,4,27,Semi-Automatic,10,1500,,330
Honda,ACCORD,2.0,4,26,Manual,6,1550,250,344
Honda,CIVIC 5DR,1.5,4,34,Continuously Variable,1,1200,,259
Honda,CIVIC 5DR,1.5,4,32,Selectable Continuously Variable (e.g. CVT with paddles),7,1500,,279
Honda,CIVIC 5DR,1.5,4,32,Manual,6,1500,,274
HYUNDAI MOTOR COMPANY,Elantra GT,1.6,4,28,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1450,,322
HYUNDAI MOTOR COMPANY,Elantra GT,1.6,4,26,Manual,6,1550,250,352
HYUNDAI MOTOR COMPANY,Elantra GT,2.0,4,27,Semi-Automatic,6,1500,,327
HYUNDAI MOTOR COMPANY,Ioniq,1.6,4,55,Automated Manual,6,750,,163
HYUNDAI MOTOR COMPANY,Ioniq Blue,1.6,4,58,Automated Manual,6,700,,154
HYUNDAI MOTOR COMPANY,Sonata,1.6,4,31,Semi-Automatic,8,1300,,291
HYUNDAI MOTOR COMPANY,Sonata,2.5,4,32,Semi-Automatic,8,1250,,282
HYUNDAI MOTOR COMPANY,Sonata,2.5,4,31,Semi-Automatic,8,1300,,293
KIA MOTORS CORPORATION,K900,3.3,6,21,Semi-Automatic,8,2300,4000,431
KIA MOTORS CORPORATION,Optima,1.6,4,31,Automated Manual,7,1300,,292
KIA MOTORS CORPORATION,Optima,2.0,4,24,Semi-Automatic,6,1700,1000,371
KIA MOTORS CORPORATION,Optima,2.4,4,27,Semi-Automatic,6,1500,,330
KIA MOTORS CORPORATION,Optima FE,2.4,4,29,Semi-Automatic,6,1400,,311
Lincoln,CONTINENTAL AWD,2.7,6,20,Semi-Automatic,6,2000,2500,452
Lincoln,CONTINENTAL AWD,3.0,6,19,Semi-Automatic,6,2150,3250,466
Lincoln,CONTINENTAL AWD,3.7,6,19,Semi-Automatic,6,2150,3250,462
Lincoln,CONTINENTAL FWD,2.7,6,21,Semi-Automatic,6,1950,2250,424
Lincoln,CONTINENTAL FWD,3.7,6,20,Semi-Automatic,6,2000,2500,440
MASERATI,QUATTROPORTE GTS,3.8,8,17,Automatic,8,2850,6750,517
MASERATI,QUATTROPORTE S,3.0,6,19,Automatic,8,2550,5250,460
MASERATI,QUATTROPORTE S Q4,3.0,6,18,Automatic,8,2700,6000,484
Mercedes-Benz,AMG S 63 4MATIC+,4.0,8,20,Automatic,9,2450,4750,443
Mercedes-Benz,S 450,3.0,6,22,Automatic,9,2200,3500,403
Mercedes-Benz,S 450 4MATIC,3.0,6,22,Automatic,9,2200,3500,408
Mercedes-Benz,S 560,4.0,8,21,Automatic,9,2300,4000,430
Mercedes-Benz,S 560 4MATIC,4.0,8,21,Automatic,9,2300,4000,426
Mercedes-Benz,S 560 4MATIC Maybach,4.0,8,19,Automatic,9,2550,5250,455
Porsche,Panamera,3.0,6,22,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2200,3500,401
Porsche,Panamera 4,3.0,6,22,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2200,3500,407
Porsche,Panamera 4 Executive,3.0,6,22,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2200,3500,407
Porsche,Panamera 4 ST,3.0,6,22,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2200,3500,403
Porsche,Panamera 4S,2.9,6,21,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2300,4000,419
Porsche,Panamera 4S Executive,2.9,6,21,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2300,4000,419
Porsche,Panamera 4S ST,2.9,6,20,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2450,4750,440
Porsche,Panamera GTS,4.0,8,19,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2550,5250,474
Porsche,Panamera GTS ST,4.0,8,18,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2700,6000,503
Porsche,Panamera Turbo,4.0,8,21,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2300,4000,420
Porsche,Panamera Turbo Exec,4.0,8,21,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2300,4000,420
Porsche,Panamera Turbo ST,4.0,8,20,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2450,4750,449
Rolls-Royce Motor Cars Limited,Ghost,6.6,12,14,Semi-Automatic,8,3500,10000,637
Rolls-Royce Motor Cars Limited,Ghost EWB,6.6,12,14,Semi-Automatic,8,3500,10000,637
Rolls-Royce Motor Cars Limited,Phantom,6.7,12,14,Semi-Automatic,8,3500,10000,615
Rolls-Royce Motor Cars Limited,Phantom EWB,6.7,12,14,Semi-Automatic,8,3500,10000,615
Subaru,LEGACY,2.4,4,27,Selectable Continuously Variable (e.g. CVT with paddles),8,1500,,330
Subaru,LEGACY,2.5,4,30,Selectable Continuously Variable (e.g. CVT with paddles),8,1350,,295
Buick,REGAL TOUR X AWD,2.0,4,24,Semi-Automatic,8,2050,2750,365
Chevrolet,SONIC 5,1.4,4,29,Semi-Automatic,6,1400,,308
FIAT,500L,1.4,4,25,Automatic,6,1950,2250,356
Honda,HR-V AWD,1.8,4,29,Continuously Variable,1,1400,,311
Honda,HR-V AWD,1.8,4,28,Selectable Continuously Variable (e.g. CVT with paddles),7,1450,,314
Honda,HR-V FWD,1.8,4,30,Continuously Variable,1,1350,,292
Honda,HR-V FWD,1.8,4,30,Selectable Continuously Variable (e.g. CVT with paddles),7,1350,,292
KIA MOTORS CORPORATION,Soul,1.6,4,29,Automated Manual,7,1400,,309
KIA MOTORS CORPORATION,Soul,2.0,4,30,Continuously Variable,1,1350,,303
KIA MOTORS CORPORATION,Soul,2.0,4,27,Manual,6,1500,,332
KIA MOTORS CORPORATION,Soul Eco dynamics,2.0,4,31,Continuously Variable,1,1300,,287
Subaru,IMPREZA 5-Door,2.0,4,31,Selectable Continuously Variable (e.g. CVT with paddles),7,1300,,288
Subaru,IMPREZA 5-Door,2.0,4,26,Manual,5,1550,250,335
Subaru,IMPREZA 5-Door SPORT,2.0,4,30,Selectable Continuously Variable (e.g. CVT with paddles),7,1350,,292
Subaru,IMPREZA 5-Door SPORT,2.0,4,25,Manual,5,1600,500,351
"Volvo Cars of North America, LLC",V60 CC AWD,2.0,4,25,Semi-Automatic,8,1950,2250,354
"Volvo Cars of North America, LLC",V60 FWD,2.0,4,27,Semi-Automatic,8,1800,1500,322
Jaguar,XF Sportbrake AWD,2.0,4,24,Semi-Automatic,8,2050,2750,370
Jaguar,XF Sportbrake AWD,3.0,6,21,Semi-Automatic,8,2300,4000,428
Mercedes-Benz,AMG E 63 S 4MATIC+ (SW),4.0,8,19,Automatic,9,2550,5250,480
Mercedes-Benz,E 450 4MATIC (station wagon),3.0,6,22,Automatic,9,2200,3500,408
NISSAN,MURANO AWD,3.5,6,23,Selectable Continuously Variable (e.g. CVT with paddles),7,1750,1250,388
NISSAN,MURANO FWD,3.5,6,23,Selectable Continuously Variable (e.g. CVT with paddles),7,1750,1250,386
Rolls-Royce Motor Cars Limited,Cullinan,6.7,12,14,Semi-Automatic,8,3500,10000,619
Rolls-Royce Motor Cars Limited,Cullinan Black Badge,6.7,12,14,Semi-Automatic,8,3500,10000,619
"Volvo Cars of North America, LLC",V90 AWD,2.0,4,25,Semi-Automatic,8,1950,2250,357
"Volvo Cars of North America, LLC",V90 CC AWD,2.0,4,24,Semi-Automatic,8,2050,2750,373
"Volvo Cars of North America, LLC",V90 FWD,2.0,4,26,Semi-Automatic,8,1900,2000,339
Chrysler,Pacifica,3.6,6,22,Automatic,9,1850,1750,401
Chrysler,Voyager,3.6,6,22,Automatic,9,1850,1750,401
Honda,ODYSSEY FWD,3.5,6,22,Semi-Automatic,10,1850,1750,394
KIA MOTORS CORPORATION,Sedona,3.3,6,21,Semi-Automatic,8,1950,2250,436
TOYOTA,SIENNA,3.5,6,21,Semi-Automatic,8,1950,2250,417
TOYOTA,SIENNA AWD,3.5,6,20,Semi-Automatic,8,2000,2500,441
Acura,MDX FWD,3.5,6,23,Semi-Automatic,9,2100,3000,387
Acura,RDX FWD,2.0,4,24,Semi-Automatic,10,2050,2750,370
Acura,RDX FWD A-SPEC,2.0,4,24,Semi-Automatic,10,2050,2750,374
ALFA ROMEO,Stelvio,2.0,4,25,Automatic,8,1950,2250,359
BMW,X3 sDrive30i,2.0,4,27,Semi-Automatic,8,1800,1500,332
Buick,ENCORE FWD,1.4,4,27,Semi-Automatic,6,1500,,329
Buick,ENVISION FWD,2.5,4,25,Automatic,6,1600,500,359
Cadillac,XT4 FWD,2.0,4,26,Semi-Automatic,9,1900,2000,336
Cadillac,XT5 FWD,3.6,6,21,Semi-Automatic,9,1950,2250,420
Cadillac,XT6 FWD,3.6,6,20,Semi-Automatic,9,2000,2500,437
Chevrolet,BLAZER FWD,2.5,4,23,Automatic,9,1750,1250,382
Chevrolet,BLAZER FWD,3.6,6,21,Automatic,9,1950,2250,414
Chevrolet,EQUINOX FWD,1.5,4,28,Automatic,6,1450,,315
Chevrolet,EQUINOX FWD,2.0,4,25,Automatic,9,1950,2250,350
Chevrolet,TRAX FWD,1.4,4,28,Semi-Automatic,6,1450,,316
Ford,ECOSPORT FWD,1.0,3,28,Semi-Automatic,6,1450,,318
Ford,EDGE FWD,2.0,4,24,Automatic,8,1700,1000,369
Ford,ESCAPE FWD,1.5,3,30,Automatic,8,1350,,297
Ford,ESCAPE FWD HEV,2.5,4,41,Continuously Variable,1,1000,,220
GMC,TERRAIN FWD,1.5,4,27,Automatic,9,1500,,325
GMC,TERRAIN FWD,2.0,4,24,Automatic,9,2050,2750,369
Honda,PASSPORT FWD,3.5,6,22,Semi-Automatic,9,1850,1750,407
Honda,PILOT FWD,3.5,6,22,Automatic,6,1850,1750,405
Honda,PILOT FWD,3.5,6,23,Semi-Automatic,9,1750,1250,388
HYUNDAI MOTOR COMPANY,Kona FWD,1.6,4,30,Automated Manual,7,1350,,303
HYUNDAI MOTOR COMPANY,Kona FWD,2.0,4,30,Semi-Automatic,6,1350,,300
HYUNDAI MOTOR COMPANY,Santa Fe FWD,2.0,4,23,Semi-Automatic,8,1750,1250,399
HYUNDAI MOTOR COMPANY,Santa Fe FWD,2.4,4,25,Semi-Automatic,8,1600,500,362
HYUNDAI MOTOR COMPANY,Tucson FWD,2.0,4,25,Semi-Automatic,6,1600,500,358
HYUNDAI MOTOR COMPANY,Tucson FWD,2.4,4,25,Semi-Automatic,6,1600,500,363
INFINITI,QX50,2.0,4,26,Selectable Continuously Variable (e.g. CVT with paddles),8,1900,2000,346
INFINITI,QX60 FWD,3.5,6,22,Selectable Continuously Variable (e.g. CVT with paddles),7,2200,3500,399
Jeep,Cherokee FWD,2.0,4,26,Automatic,9,1550,250,345
Jeep,Cherokee FWD,2.4,4,25,Automatic,9,1600,500,352
Jeep,Cherokee FWD,3.2,6,23,Automatic,9,1750,1250,387
Jeep,Compass 4X2,2.4,4,25,Automatic,6,1600,500,350
Jeep,Compass 4X2,2.4,4,26,Manual,6,1550,250,339
Jeep,Renegade 4x2,1.3,4,27,Automatic,9,1500,,328
Jeep,Renegade 4x2,2.4,4,25,Automatic,9,1600,500,357
KIA MOTORS CORPORATION,Sorento FWD,2.4,4,25,Semi-Automatic,6,1600,500,363
KIA MOTORS CORPORATION,Sorento FWD,3.3,6,22,Semi-Automatic,8,1850,1750,413
KIA MOTORS CORPORATION,Sportage FWD,2.0,4,23,Semi-Automatic,6,1750,1250,392
KIA MOTORS CORPORATION,Sportage FWD,2.4,4,26,Semi-Automatic,6,1550,250,351
KIA MOTORS CORPORATION,Telluride FWD,3.8,6,23,Semi-Automatic,8,1750,1250,395
LEXUS,NX 300,2.0,4,25,Semi-Automatic,6,1950,2250,358
LEXUS,RX 350,3.5,6,23,Semi-Automatic,8,1750,1250,391
LEXUS,RX 350L,3.5,6,22,Semi-Automatic,8,1850,1750,407
Lincoln,CORSAIR FWD,2.0,4,25,Semi-Automatic,8,1600,500,361
Lincoln,NAUTILUS FWD,2.0,4,23,Semi-Automatic,8,1750,1250,384
Mercedes-Benz,GLA 250,2.0,4,28,Automated Manual,7,1750,1250,316
Mercedes-Benz,GLB 250,2.0,4,26,Automated Manual,8,1900,2000,344
Mercedes-Benz,GLC 300,2.0,4,24,Automatic,9,2050,2750,366
Mitsubishi Motors Corporation,ECLIPSE CROSS 2WD,1.5,4,26,Selectable Continuously Variable (e.g. CVT with paddles),8,1550,250,338
Mitsubishi Motors Corporation,ECLIPSE CROSS ES 2WD,1.5,4,27,Selectable Continuously Variable (e.g. CVT with paddles),8,1500,,327
Mitsubishi Motors Corporation,OUTLANDER 2WD,2.4,4,27,Selectable Continuously Variable (e.g. CVT with paddles),6,1500,,326
Mitsubishi Motors Corporation,OUTLANDER SPORT 2WD,2.0,4,27,Selectable Continuously Variable (e.g. CVT with paddles),6,1500,,331
Mitsubishi Motors Corporation,OUTLANDER SPORT 2WD,2.4,4,25,Selectable Continuously Variable (e.g. CVT with paddles),6,1600,500,354
NISSAN,PATHFINDER 2WD,3.5,6,23,Continuously Variable,1,1750,1250,392
NISSAN,ROGUE FWD,2.5,4,29,Continuously Variable,1,1400,,312
TOYOTA,RAV4,2.5,4,30,Semi-Automatic,8,1350,,290
TOYOTA,RAV4,2.5,4,30,Semi-Automatic,8,1350,,301
Volkswagen,Atlas,2.0,4,22,Semi-Automatic,8,1850,1750,408
Volkswagen,Atlas Cross Sport,2.0,4,22,Semi-Automatic,8,1850,1750,401
Volkswagen,Tiguan,2.0,4,25,Semi-Automatic,8,1600,500,356
"Volvo Cars of North America, LLC",XC40 FWD,2.0,4,27,Semi-Automatic,8,1500,,331
"Volvo Cars of North America, LLC",XC60 FWD,2.0,4,24,Semi-Automatic,8,2050,2750,362
Acura,MDX AWD,3.0,6,27,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1800,1500,333
Acura,MDX AWD,3.5,6,22,Semi-Automatic,9,2200,3500,404
Acura,MDX AWD A-spec,3.5,6,21,Semi-Automatic,9,2300,4000,415
Acura,RDX AWD,2.0,4,23,Semi-Automatic,10,2100,3000,385
Acura,RDX AWD A-SPEC,2.0,4,23,Semi-Automatic,10,2100,3000,385
ALFA ROMEO,Stelvio AWD,2.0,4,24,Automatic,8,2050,2750,364
ALFA ROMEO,Stelvio AWD,2.9,6,19,Automatic,8,2550,5250,463
Audi,Q3 quattro,2.0,4,22,Semi-Automatic,8,1850,1750,399
Audi,Q5,2.0,4,24,Semi-Automatic,7,2050,2750,364
Audi,SQ5,3.0,6,20,Semi-Automatic,8,2450,4750,444
BMW,X3 M,3.0,6,16,Semi-Automatic,8,3050,7750,546
BMW,X3 M Competition,3.0,6,16,Semi-Automatic,8,3050,7750,546
BMW,X3 M40i,3.0,6,23,Semi-Automatic,8,2100,3000,379
BMW,X3 xDrive30i,2.0,4,26,Semi-Automatic,8,1900,2000,345
BMW,X4 M,3.0,6,16,Semi-Automatic,8,3050,7750,546
BMW,X4 M Competition,3.0,6,16,Semi-Automatic,8,3050,7750,546
BMW,X4 M40i,3.0,6,23,Semi-Automatic,8,2100,3000,379
BMW,X4 xDrive30i,2.0,4,25,Semi-Automatic,8,1950,2250,356
Buick,ENCORE AWD,1.4,4,26,Semi-Automatic,6,1550,250,344
Buick,ENVISION AWD,2.0,4,22,Automatic,9,2200,3500,402
Buick,ENVISION AWD,2.5,4,24,Automatic,6,1700,1000,377
Cadillac,XT4 AWD,2.0,4,24,Semi-Automatic,9,2050,2750,366
Cadillac,XT5 AWD,3.6,6,20,Semi-Automatic,9,2000,2500,434
Cadillac,XT6 AWD,3.6,6,20,Semi-Automatic,9,2000,2500,446
Chevrolet,BLAZER AWD,3.6,6,21,Automatic,9,1950,2250,433
Chevrolet,EQUINOX AWD,1.5,4,27,Automatic,6,1500,,324
Chevrolet,EQUINOX AWD,2.0,4,24,Automatic,9,2050,2750,367
Chevrolet,TRAX AWD,1.4,4,26,Semi-Automatic,6,1550,250,344
FIAT,500X AWD,1.3,4,26,Automatic,9,1550,250,342
Ford,ECOSPORT AWD,2.0,4,25,Semi-Automatic,6,1600,500,355
Ford,EDGE AWD,2.0,4,23,Automatic,8,1750,1250,384
Ford,EDGE AWD,2.0,4,23,Semi-Automatic,8,1750,1250,384
Ford,EDGE AWD,2.7,6,21,Semi-Automatic,8,1950,2250,417
Ford,ESCAPE AWD,1.5,3,28,Automatic,8,1450,,319
Ford,ESCAPE AWD,2.0,4,26,Semi-Automatic,8,1550,250,342
Ford,ESCAPE AWD HEV,2.5,4,40,Continuously Variable,1,1000,,224
GMC,TERRAIN AWD,1.5,4,26,Automatic,9,1550,250,339
GMC,TERRAIN AWD,2.0,4,23,Automatic,9,2100,3000,386
Honda,PASSPORT AWD,3.5,6,21,Semi-Automatic,9,1950,2250,427
Honda,PILOT AWD,3.5,6,21,Automatic,6,1950,2250,421
Honda,PILOT AWD,3.5,6,22,Semi-Automatic,9,1850,1750,407
HYUNDAI MOTOR COMPANY,Kona AWD,1.6,4,27,Automated Manual,7,1500,,324
HYUNDAI MOTOR COMPANY,Kona AWD,2.0,4,28,Semi-Automatic,6,1450,,324
HYUNDAI MOTOR COMPANY,Santa Fe AWD,2.0,4,22,Semi-Automatic,8,1850,1750,411
HYUNDAI MOTOR COMPANY,Santa Fe AWD,2.4,4,24,Semi-Automatic,8,1700,1000,377
HYUNDAI MOTOR COMPANY,Tucson AWD,2.0,4,23,Semi-Automatic,6,1750,1250,385
HYUNDAI MOTOR COMPANY,Tucson AWD,2.4,4,23,Semi-Automatic,6,1750,1250,387
INFINITI,QX50 AWD,2.0,4,25,Selectable Continuously Variable (e.g. CVT with paddles),8,1950,2250,365
INFINITI,QX60 AWD,3.5,6,22,Selectable Continuously Variable (e.g. CVT with paddles),7,2200,3500,410
Jaguar,E-PACE,2.0,4,24,Semi-Automatic,9,2050,2750,371
Jaguar,E-PACE P300,2.0,4,23,Semi-Automatic,9,2100,3000,379
Jaguar,F-PACE,2.0,4,24,Semi-Automatic,8,2050,2750,365
Jaguar,F-PACE,3.0,6,20,Semi-Automatic,8,2450,4750,446
Jaguar,F-PACE,5.0,8,18,Semi-Automatic,8,2700,6000,488
Jaguar,F-PACE 30t,2.0,4,24,Semi-Automatic,8,2050,2750,373
Jeep,Cherokee 4X4,2.0,4,24,Automatic,9,1700,1000,369
Jeep,Cherokee 4X4,2.4,4,24,Automatic,9,1700,1000,370
Jeep,Cherokee 4X4,3.2,6,22,Automatic,9,1850,1750,400
Jeep,Cherokee 4x4 Active Drive II,2.0,4,23,Automatic,9,1750,1250,387
Jeep,Cherokee 4x4 Active Drive II,3.2,6,21,Automatic,9,1950,2250,416
Jeep,Cherokee Trailhawk 4X4,2.0,4,22,Automatic,9,1850,1750,400
Jeep,Cherokee Trailhawk 4X4,3.2,6,21,Automatic,9,1950,2250,432
Jeep,Compass 4X4,2.4,4,25,Automatic,9,1600,500,358
Jeep,Compass 4X4,2.4,4,25,Manual,6,1600,500,355
Jeep,Renegade 4x4,1.3,4,26,Automatic,9,1550,250,348
Jeep,Renegade 4x4,2.4,4,24,Automatic,9,1700,1000,371
Jeep,Renegade Trailhawk 4x4,1.3,4,24,Automatic,9,1700,1000,370
Jeep,Wrangler 4x4,2.0,4,23,Automatic,8,1750,1250,388
Jeep,Wrangler 4x4,3.6,6,20,Automatic,8,2000,2500,440
Jeep,Wrangler 4x4,3.6,6,20,Manual,6,2000,2500,446
Jeep,Wrangler Unlimited 4x4,2.0,4,21,Automatic,8,1950,2250,423
Jeep,Wrangler Unlimited 4x4,2.0,4,21,Automatic,8,1950,2250,414
Jeep,Wrangler Unlimited 4x4,3.6,6,20,Automatic,8,2000,2500,444
Jeep,Wrangler Unlimited 4x4,3.6,6,20,Automatic,8,2000,2500,451
Jeep,Wrangler Unlimited 4x4,3.6,6,19,Manual,6,2150,3250,459
KIA MOTORS CORPORATION,Sorento AWD,2.4,4,23,Semi-Automatic,6,1750,1250,389
KIA MOTORS CORPORATION,Sorento AWD,3.3,6,20,Semi-Automatic,8,2000,2500,436
KIA MOTORS CORPORATION,Sportage AWD,2.0,4,21,Semi-Automatic,6,1950,2250,421
KIA MOTORS CORPORATION,Sportage AWD,2.4,4,23,Semi-Automatic,6,1750,1250,386
KIA MOTORS CORPORATION,Telluride AWD,3.8,6,21,Semi-Automatic,8,1950,2250,426
Land Rover,Discovery Sport,2.0,4,21,Semi-Automatic,9,2300,4000,427
Land Rover,Discovery Sport MHEV,2.0,4,21,Semi-Automatic,9,2300,4000,422
Land Rover,Evoque,2.0,4,23,Semi-Automatic,9,2100,3000,394
Land Rover,Evoque MHEV,2.0,4,23,Semi-Automatic,9,2100,3000,389
Land Rover,Range Rover Velar,2.0,4,23,Semi-Automatic,8,2100,3000,384
Land Rover,Range Rover Velar,3.0,6,20,Semi-Automatic,8,2450,4750,439
Land Rover,Range Rover Velar,5.0,8,17,Semi-Automatic,8,2850,6750,511
Land Rover,Range Rover Velar P300,2.0,4,22,Semi-Automatic,8,2200,3500,399
Land Rover,Range Rover Velar P380,3.0,6,20,Semi-Automatic,8,2450,4750,439
LEXUS,NX 300 AWD,2.0,4,24,Semi-Automatic,6,2050,2750,362
LEXUS,NX 300 AWD F SPORT,2.0,4,24,Semi-Automatic,6,2050,2750,374
LEXUS,NX 300h AWD,2.5,4,31,Selectable Continuously Variable (e.g. CVT with paddles),6,1300,,285
LEXUS,RX 350 AWD,3.5,6,22,Semi-Automatic,8,1850,1750,405
LEXUS,RX 350L AWD,3.5,6,21,Semi-Automatic,8,1950,2250,432
Lincoln,CORSAIR AWD,2.0,4,24,Semi-Automatic,8,1700,1000,369
Lincoln,CORSAIR AWD,2.3,4,24,Semi-Automatic,8,1700,1000,372
Lincoln,NAUTILUS AWD,2.0,4,22,Semi-Automatic,8,1850,1750,401
Lincoln,NAUTILUS AWD,2.7,6,21,Semi-Automatic,8,1950,2250,417
Mercedes-Benz,AMG GLC 43 4MATIC,3.0,6,21,Automatic,9,2300,4000,431
Mercedes-Benz,AMG GLC 43 4MATIC (coupe),3.0,6,21,Automatic,9,2300,4000,432
Mercedes-Benz,AMG GLC 63 4MATIC+,4.0,8,18,Automatic,9,2700,6000,489
Mercedes-Benz,AMG GLC 63 4MATIC+ (coupe),4.0,8,18,Automatic,9,2700,6000,489
Mercedes-Benz,AMG GLC 63 S 4MATIC+ (coupe),4.0,8,18,Automatic,9,2700,6000,489
Mercedes-Benz,GLA 250 4MATIC,2.0,4,26,Automated Manual,7,1900,2000,340
Mercedes-Benz,GLB 250 4MATIC,2.0,4,26,Automated Manual,8,1900,2000,338
Mercedes-Benz,GLC 300 4MATIC,2.0,4,24,Automatic,9,2050,2750,377
Mercedes-Benz,GLC 300 4MATIC (Coupe),2.0,4,24,Automatic,9,2050,2750,374
Mercedes-Benz,GLE 350,2.0,4,22,Automatic,9,2200,3500,397
Mercedes-Benz,GLE 350 4MATIC,2.0,4,22,Automatic,9,2200,3500,404
Mitsubishi Motors Corporation,ECLIPSE CROSS 4WD,1.5,4,25,Selectable Continuously Variable (e.g. CVT with paddles),8,1600,500,347
Mitsubishi Motors Corporation,ECLIPSE CROSS ES 4WD,1.5,4,26,Selectable Continuously Variable (e.g. CVT with paddles),8,1550,250,337
Mitsubishi Motors Corporation,OUTLANDER 4WD,2.4,4,26,Selectable Continuously Variable (e.g. CVT with paddles),6,1550,250,341
Mitsubishi Motors Corporation,OUTLANDER 4WD,3.0,6,22,Semi-Automatic,6,2200,3500,402
Mitsubishi Motors Corporation,OUTLANDER SPORT 4WD,2.0,4,26,Selectable Continuously Variable (e.g. CVT with paddles),6,1550,250,344
Mitsubishi Motors Corporation,OUTLANDER SPORT 4WD,2.4,4,25,Selectable Continuously Variable (e.g. CVT with paddles),6,1600,500,353
NISSAN,PATHFINDER 4WD,3.5,6,22,Continuously Variable,1,1850,1750,401
NISSAN,PATHFINDER 4WD PLATINUM,3.5,6,21,Continuously Variable,1,1950,2250,414
NISSAN,ROGUE AWD,2.5,4,27,Continuously Variable,1,1500,,324
Porsche,Macan,2.0,4,21,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,2300,4000,426
Porsche,Macan S,3.0,6,20,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,2450,4750,438
Subaru,CROSSTREK AWD,2.0,4,30,Selectable Continuously Variable (e.g. CVT with paddles),8,1350,,298
Subaru,CROSSTREK AWD,2.0,4,25,Manual,6,1600,500,355
Subaru,FORESTER AWD,2.5,4,29,Selectable Continuously Variable (e.g. CVT with paddles),7,1400,,309
Subaru,OUTBACK AWD,2.4,4,26,Selectable Continuously Variable (e.g. CVT with paddles),8,1550,250,343
Subaru,OUTBACK AWD,2.5,4,29,Selectable Continuously Variable (e.g. CVT with paddles),8,1400,,308
TOYOTA,RAV4 AWD,2.5,4,29,Semi-Automatic,8,1400,,301
TOYOTA,RAV4 AWD,2.5,4,28,Semi-Automatic,8,1450,,315
TOYOTA,RAV4 AWD LE,2.5,4,30,Semi-Automatic,8,1350,,296
TOYOTA,RAV4 AWD TRD OFFROAD,2.5,4,27,Semi-Automatic,8,1500,,321
TOYOTA,RAV4 HYBRID AWD,2.5,4,40,Selectable Continuously Variable (e.g. CVT with paddles),6,1000,,223
Volkswagen,Atlas Cross Sport 4Motion,2.0,4,20,Semi-Automatic,8,2000,2500,439
Volkswagen,Tiguan 4Motion,2.0,4,23,Semi-Automatic,8,1750,1250,388
"Volvo Cars of North America, LLC",XC40 AWD,2.0,4,25,Semi-Automatic,8,1950,2250,352
